Timestamp,Event title,Location,URL,Description,Timezone,Start Date&Time,End Date&Time,TAGS
09/07/2023 20:58:52,ReproducibiliTea UniBasel- Intro to Open Science,Online,https://www.eventbrite.com/e/introduction-to-open-science-tickets-674747196027?aff=oddtdtcreator,"Introduction to Open Science with Daniel S. Quintana, Senior Researcher at the Department of Psychology, University of Oslo. (https://www.eventbrite.com/e/introduction-to-open-science-tickets-674747196027?aff=oddtdtcreator)","(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",28/09/2023 16:30:00,28/09/2023 17:30:00,
09/07/2023 21:33:16,Moving beyond the p < 0.05,Online,https://www.eventbrite.com/e/moving-beyond-the-p-005-tickets-674756243087?aff=ebdsoporgprofile,"Discussing about moving beyond the p-value with Ronald L. (Ron) Wasserstein, the executive director of the American Statistical Association (ASA). Wasserstein assumed the ASA’s top staff leadership post in August 2007.
@ReproducibiliTea Unibasel (https://www.eventbrite.com/e/moving-beyond-the-p-005-tickets-674756243087?aff=ebdsoporgprofile)","(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",12/10/2023 16:30:00,12/10/2023 17:30:00,
09/07/2023 21:39:52,Registered Reports-ReproducibiliTea UniBasel,Online,https://www.eventbrite.com/e/registered-reports-tickets-674758580077?aff=ebdsoporgprofile,"Discussing about Registered Reports with Emma Henderson, a Behavioural Scientist and Psychologist working as a Postdoctoral Research Fellow in Open Research at the University of Surrey. (https://www.eventbrite.com/e/registered-reports-tickets-674758580077?aff=ebdsoporgprofile)","(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",26/10/2023 16:30:00,26/10/2023 17:30:00,
10/07/2023 10:01:43,Preclinical Research & Open Science-ReproducibiliTea UniBasel,Online,https://www.eventbrite.com/e/preclinical-research-and-open-science-tickets-674770555897?aff=oddtdtcreator,"ReproducibiliTea UniBasel with Kaitlyn Hair is a Postdoctoral Researcher at the University of Edinburgh.
Talking about Preclinical Research and OS, addressed to a broader audience. (https://www.eventbrite.com/e/preclinical-research-and-open-science-tickets-674770555897?aff=oddtdtcreator)","(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",09/11/2023 16:30:00,09/11/2023 17:30:00,
10/07/2023 10:30:56,Evaluating machine learning models-ReproducibiliTea UniBasel,Online,https://www.eventbrite.com/e/evaluating-machine-learning-models-and-their-diagnostic-value-tickets-674771318177?aff=oddtdtcreator,"Discussing about ""Evaluating machine learning models and their diagnostic value"" with Gael Varoquaux. Gael is a machine learning researcher, research director (DR, HDR), soda, INRIA and director of the scikit-learn operations at Inria foundation. 
ReproducibiliTea UniBasel (https://www.eventbrite.com/e/evaluating-machine-learning-models-and-their-diagnostic-value-tickets-674771318177?aff=oddtdtcreator)","(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",23/11/2023 16:30:00,23/11/2023 17:30:00,
10/07/2023 10:39:03,Open Access and Open Data,Online,https://www.eventbrite.com/e/open-access-and-open-data-tickets-674774557867?aff=oddtdtcreator,"Talking about ""Open Access and Open Data"" with Silke Bellanger, Head of Open Science Team, University of Basel, University Library, Open Science Team.
Open to a broad audience.
With ReproducibiliTea UniBasel (https://www.eventbrite.com/e/open-access-and-open-data-tickets-674774557867?aff=oddtdtcreator)","(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",07/12/2023 16:30:00,07/12/2023 17:30:00,
10/07/2023 10:44:11,Reproducible Coding- ReproducibiliTea UniBasel,Online,https://www.eventbrite.com/e/reproducible-coding-tickets-674776122547?aff=oddtdtcreator,"ReproducibiliTea UniBasel with Yo Yehudi. Yo is the Executive Director of Open Life Science, a non-profit mentoring and training company dedicated to building a global network of open research ambassadors. (https://www.eventbrite.com/e/reproducible-coding-tickets-674776122547?aff=oddtdtcreator)","(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",21/12/2023 16:30:00,21/12/2023 17:30:00,
21/07/2023 17:23:24,SIPS 2024,"Nairobi, Kenya",https://www.improvingpsych.org/SIPS2024/,"The Society for the Improvement of Psychological Science is excited to announce it will head to Africa for its ninth annual hybrid meeting. We are very happy to announce that SIPS 2024 will be held in Nairobi, Kenya and will be hosted by Busara, one of the first behavioral science research institutes in the Global South and a recent recipient of a $2.5 million MacKenzie Scott grant. 

The theme of the conference is bridge-building, as we search for ways to continue to grow as a community by learning from researchers around the world and in different settings, like the non-profit space. (https://www.improvingpsych.org/SIPS2024/)",(UTC+03:00) Nairobi,10/06/2024 08:00:00,12/06/2024 18:00:00,
09/08/2023 12:59:24,Lab Animal Publication School,Online,https://attendee.gotowebinar.com/register/5947666746077332565?source=OpenResCal,"Join Dr Nikki Osborne (Responsible Research in Practice) & Dr Jen de Beyer (UK EQUATOR Centre) for this live and interactive online publication school comprising three live webinar sessions* scheduled as follows:

9:30am -1:30pm (GMT) Tuesday 28th November - Session 1. Intro to publishing, message, authorship, audience, journal choice & reporting guidelines;
9:30am -1:30pm (GMT) Wednesday 29th November - Session 2. Getting started and keeping going, writing style, focus on writing methods, results, discussion and introduction;
9:30am -1:30pm (GMT) Thursday 30th November - Session 3. Focus on writing the abstract and title, editing, submission and the cover letter plus peer review.

*Attendance at all three LIVE sessions is required to complete the course.

This lab animal publication school provides an indepth introduction to responsible research writing practices to smooth the journey from research study to a published article that is fit for purpose.

To register for this course please click on the link to enter your full name and institutional contact email address.

Discounts available for graduate students (reduced to £150) and employees in academia and the public sector (reduced to £240). Please contact admin@responsibleresearchinpractice.co.uk to request a discount code.

5 free places are made available for anyone employed or funded by Cancer Research UK. Only one place is available per institution or centre. The places will be made available on a first-come first-serve basis. Please contact equator@csm.ox.ac.uk to request a free place and include your affiliation to CRUK (e.g., grant number or Centre of employment). (https://attendee.gotowebinar.com/register/5947666746077332565?source=OpenResCal)","(UTC+00:00) Dublin, Edinburgh, Lisbon, London",28/11/2023 09:30:00,30/11/2023 13:30:00,
28/08/2023 10:06:11,International Research Culture Conference 2023,Online,https://warwick.ac.uk/research/ncrc/ircc/, (https://warwick.ac.uk/research/ncrc/ircc/),"(UTC+00:00) Dublin, Edinburgh, Lisbon, London",25/09/2023 09:30:00,25/09/2023 17:00:00,
01/09/2023 09:24:04,Open Science Days 2024,"Germany (Berlin), online",https://osd.mpdl.mpg.de/?mc_cid=8a251bc3d5&mc_eid=3f2684c619, (https://osd.mpdl.mpg.de/?mc_cid=8a251bc3d5&mc_eid=3f2684c619),"(UTC+00:00) Dublin, Edinburgh, Lisbon, London",29/01/2024 09:00:00,30/01/2024 17:00:00,
01/09/2023 16:07:21,Introduction to Research Data Management,Online,https://link.webropolsurveys.com/EventParticipation/EventPublic/79d5548f-2ae9-4bb8-917d-cd91d921d56d?displayId=Fin2864518,"Description

Has your work been slowed down by misplaced or mislabeled files?
Are you embarking on a new project and are unsure about what needs to be considered when planning the management of your research data?
Are you wondering how to publish your data?
Do you know that your research data can be licensed and even cited by other researchers?
Have you wondered about how to improve the reproducibility of your data?

Aalto Research Services organises a series of training sessions on Research Data Management (RDM) and Open Science. This first training session is intended for researchers who want to know basic information on: what RDM is, why RDM is useful, what are the stages of the data lifecycle, what are the requirements from funders and publishers for RDM, and what services Aalto provides for data management.

Who can participate?

The webinar is aimed at staff and students who are interested in a basic introduction to RDM. The session offers a broad overview of the topic rather than providing details on any discipline-specific research data. No prior knowledge of RDM is required. Some information covered in the session, such as details of Aalto’s RDM services, is relevant only to those working at Aalto. The webinar is free and open to all.

Learning outcomes

What does RDM entail 
The lifecycle of data and what to consider at each step of the process 
Practical steps towards FAIR data 
What services and support are available at Aalto for research data management 

Format

The session consists of two parts: a 40-minute presentation and a 50-minute interactive session in which participants can apply their knowledge to practical exercises.

Schedule and location

The training will be held online via Zoom on October 3, at 1–2.30 PM Eastern European Time (EET).

Instructors

Dr. Essi Viitanen, Data Agent, Senior Advisor, Research Services, Aalto University (https://link.webropolsurveys.com/EventParticipation/EventPublic/79d5548f-2ae9-4bb8-917d-cd91d921d56d?displayId=Fin2864518)","(UTC+02:00) Helsinki, Kiev, Riga, Sofia, Tallinn, Vilnius",03/10/2023 13:00:00,03/10/2023 14:30:00,
01/09/2023 16:09:18,Data Management Plans: Online workshop,Online,https://link.webropolsurveys.com/EventParticipation/EventPublic/3d6dddd7-9522-44eb-b2d6-4e2eefde51c2?displayId=Fin2864660,"Description

Data Management Plans (DMPs) are often required by research funders and writing them has become an important skill for researchers. A DMP is also a useful tool that helps you plan your research data management, assess and avoid risks, and coordinate with your collaborators. In this online workshop we will go through some of the topics that are common to many DMP templates, such as:

- Where your data should be stored, how it can be shared with collaborators during your project
- Some steps that help you make your data FAIR (Findable-Accessible-Interoperable-Reusable)
- Open access to research data, publishing in data repositories
- Legal and ethical dimensions of your research data: protecting personal, sensitive, confidential data

You will be encouraged to consider the topics from the point of view of your own project or bring your own DMP if you have already started. Resources for getting further training and help will also be discussed.

Who can participate?

This online event is mainly intended for Aalto researchers and doctoral students, but everyone who is interested in the topic can participate. Some of the examples (e.g., data storage solutions) covered in the session are mainly relevant to those working or studying at Aalto. There are no prerequisites, although this workshop is suitable as a follow-up to the Introduction to RDM webinar. Participants who want to prepare their questions in advance can study the previous recording of our DMP training (30-minute lecture, worksheet). The event is free of charge.

Learning outcomes

You will learn about the topics usually covered in DMPs and have practical tips for writing them. You will learn how DMPs can help you plan your research data management over the course of your project’s life cycle. You will also learn about additional resources to further aid you in planning your research data management in more detail.

Format

A 1.5 hour online workshop with presentation of the DMP sections and discussion of each section. The session will not be recorded. Participants will receive a worksheet including links to further resources.

Schedule and location

​​​​​​​The training will be held online via Zoom on October 4, at 12.15–1.45 PM Eastern European Time (EET).

Instructors

​​​​​​​Lucie Hradecká (lucie.hradecka@aalto.fi), Information Specialist, Research Services, Aalto University
Dr. Enrico Glerean, Staff Scientist & Data Agent, School of Science & Aalto Scientific Computing (https://link.webropolsurveys.com/EventParticipation/EventPublic/3d6dddd7-9522-44eb-b2d6-4e2eefde51c2?displayId=Fin2864660)","(UTC+02:00) Helsinki, Kiev, Riga, Sofia, Tallinn, Vilnius",04/10/2023 12:15:00,04/10/2023 13:45:00,
01/09/2023 16:11:01,AI and Research Work,Online,https://link.webropolsurveys.com/EventParticipation/EventPublic/cc2bb373-5a31-48d7-a478-6fe9aaef78d5?displayId=Fin2865204,"Description

Generative Artificial Intelligence (AI) and Large Language Models (LLMs) in particular are quickly reshaping research-related work. Join this discussion to learn what we currently know about the use of generative AI in research and to share your input and experiences. The discussion is arranged around the following main themes:

- A short introduction to LLMs and generative AI
- Practical cases of use generative AI in the research project lifecycle: brainstorming and planning, data analysis (software and code), publishing.
- Responsible use of generative AI, ethical and legal considerations

We will cover topics such as: generative AI tools for researchers, prompt engineering, ""chat with PDFs"", software tools for large language models, open-source large language models, limitations of these approaches, other AI tools useful in research (e.g. automatic transcriptions), upcoming AI-related legislation. Come join this discussion!

Who can participate?

The webinar is aimed at staff and students who are interested in a basic introduction to AI in research work. The session offers a broad overview on the topic rather than providing details on any discipline-specific solutions. No prior knowledge of AI is required. Some information covered in the session, such as details of Aalto’s RDM services, is relevant only to those working at Aalto.

Format

The session consists of two parts: c. 60-minute presentation and a discussion session.

Schedule and location

The training will be held online via Zoom on October 10, at 1–2.30 PM Eastern European Time (EET).

Instructors

Dr. Enrico Glerean, Staff Scientist, Data Agent, School of Science, Aalto University
Dr. Pedro Silva, Post-Doc, Data Agent, Department of Chemistry and Materials Science (https://link.webropolsurveys.com/EventParticipation/EventPublic/cc2bb373-5a31-48d7-a478-6fe9aaef78d5?displayId=Fin2865204)","(UTC+02:00) Helsinki, Kiev, Riga, Sofia, Tallinn, Vilnius",10/10/2023 13:00:00,10/10/2023 14:30:00,
01/09/2023 16:12:36,Collection and Use of Participatory Mapping Data in Urban Research,Online,https://link.webropolsurveys.com/EventParticipation/EventPublic/8787b723-ea3e-407d-8338-984420fc8a0e?displayId=Fin2865237,"Description

Are you interested in uncovering innovative ways to collect and utilise data for urban research? Join us for the webinar on ""Collection and Use of Participatory Mapping Data in Urban Research.""

In today's rapidly urbanising world, cities face complex challenges that demand well-informed decision-making and sustainable solutions. Participatory mapping, a dynamic and inclusive data collection approach, empowers communities to actively engage in the research process, providing valuable insights into their lived experiences and local environments. During this webinar, we will delve into the foundations of participatory mapping, exploring its significance and potential for enhancing urban research. Furthermore, we will discuss privacy considerations as well as the practicalities related to data management, anonymisation, and publishing.

Who can participate?

Anyone interested in the use of participatory methods or other similar spatial data in urban research might find this talk interesting. The webinar is free of charge.

Learning outcomes

During this webinar we will learn:

What is participatory mapping and how can it be used in urban research?
How can we collect participatory mapping data?
Overview of participatory mapping data analysis
Handling the data and privacy considerations
Data anonymisation and open data

Format

The session consists of two parts: a 45-minute presentation and 15 minutes for discussion and questions.

Schedule and location

The training will be held online via Zoom on October 11, at 1–2 PM Eastern European Time (EET).

Instructors

Dr. Kamyar Hasanzadeh, (kamyar.hasanzadeh@aalto.fi) (https://link.webropolsurveys.com/EventParticipation/EventPublic/8787b723-ea3e-407d-8338-984420fc8a0e?displayId=Fin2865237)","(UTC+02:00) Helsinki, Kiev, Riga, Sofia, Tallinn, Vilnius",11/10/2023 13:00:00,11/10/2023 14:00:00,
01/09/2023 16:13:40,GitHub for FAIR Data and Beyond,Online,https://link.webropolsurveys.com/EventParticipation/EventPublic/8e9f8ebf-1232-483e-9baf-d724033fb84e?displayId=Fin2865270,"Description

FAIR is the first part of data management, but what comes next? To get the most value of our research data, our data should be alive, which means that the research community can contribute back with improvements. That means that we can accept contributions from others easily, and others can use and modify the data without making diverging copies. Thus, this talk proposes a “C” (for “collaborative contributions”) beyond the normal FAIR acronym.

After some thought, in our view the best solution to achieving the above is GitHub, which has a tagline of “Social Coding”. What if it wasn’t limited to “coding”?

While GitHub is normally used for software or computational work, it has the potential to solve other needs of RDM: version history, attribution for each change, and, most importantly, a way for anyone to make and comment on change proposals without needing to ask for special permission first (and use their own versions, without making it impossible to merge versions again later on). Could GitHub be used also in non-computational research, in order to improve the FAIRness of academic projects in general?

This event will

Introduce the background to the above and why GitHub could be appropriate for different kinds of non-code academic projects
Introduce an example of using GitHub for a non-code academic project
See how GitHub can allow an outside person to easily contribute to a non-code project.
Discuss how and what barriers there would be to adopting GitHub more broadly (e.g. is there a user interface that is simple and usable enough for broad use?)
Include discussion and future planning (e.g. does anyone want to begin setting something up?)

Who can participate?

The webinar is aimed at university staff and students who are interested in the topic. No prior knowledge of RDM is required. Some information covered in the session, such as details of Aalto’s RDM services, is relevant only to those working at Aalto. The webinar is free of charge.

Format

A one-hour webinar including a Q&A discussion.

Schedule and location

The training will be held online via Zoom on October 12, at 2–3 PM Eastern European Time (EET).

Instructors

Dr. Richard Darst, Staff Scientist, Data Agent, School of Science, Aalto University
& the Aalto Scientific Computing team (Aalto SciComp) (https://link.webropolsurveys.com/EventParticipation/EventPublic/8e9f8ebf-1232-483e-9baf-d724033fb84e?displayId=Fin2865270)","(UTC+02:00) Helsinki, Kiev, Riga, Sofia, Tallinn, Vilnius",12/10/2023 14:00:00,12/10/2023 15:00:00,
01/09/2023 16:14:56,Current Trends in Academic Publishing,Online,https://link.webropolsurveys.com/EventParticipation/EventPublic/a7bf63cf-f6a6-4510-9338-460137efc05d?displayId=Fin2865313,"Current Trends in Academic Publishing: Diamond Open Access Journals and the CRediT Contributor Roles Taxonomy, Oct 24, 2023, at 1–2.30 PM (EET)

Description

This session will cover some of the recent developments in academic publishing. The first part addresses publishing in Diamond Open Access journals. Diamond Open Access as a phenomenon, as well as various incentives related to Diamond Open Access publishing, are briefly introduced. In addition, the session outlines how Aalto University researchers have published in Diamond Open Access publication channels in recent years.

In the second part, we will discuss questions around authorship and ways in which various diverse contributions to research can be appropriately credited in published works. We will explore author contributor statements, discuss the CRediT Contributor Roles, as well as look at some tools that can help in agreeing on authorship.

Who can participate?

The webinar is aimed at staff and students who are interested in current developments in academic publishing, Diamond Open Access Journals, or preparing author contributor statements. The lecturers are from Aalto, but the training is openly available to anyone interested in the topic. The webinar is free of charge.

Format

A 1.5-hour webinar including a Q&A discussion.

Schedule and location

The training will be held online via Zoom on October 24, 2023, at 1.00–2.30 PM Eastern European Time (EET).

Lecturers

Ms. Eeva Savolainen, Information Specialist, Research Services, Aalto University, eeva.savolainen@aalto.fi
Ms. Katri Seitsonen, Information Specialist, Research Services, Aalto University, katri.seitsonen@aalto.fi
Dr. Essi Viitanen, Senior Advisor, Data Agent, Research Services, Aalto University, essi.viitanen@aalto.fi (https://link.webropolsurveys.com/EventParticipation/EventPublic/a7bf63cf-f6a6-4510-9338-460137efc05d?displayId=Fin2865313)","(UTC+02:00) Helsinki, Kiev, Riga, Sofia, Tallinn, Vilnius",24/10/2023 13:00:00,24/10/2023 14:30:00,
01/09/2023 16:17:10,Open Educational Resources,Online,https://link.webropolsurveys.com/EventParticipation/EventPublic/76e73324-6dc6-43a0-8bb8-fd5091f3f1d3?displayId=Fin2865329,"Open Educational Resources: Circular Textiles and Introduction to Speech Processing Research, Oct 26, 2023, at 1–2.30 PM (EET)

Description

Open Educational Resources movement is rooted in accessible high-quality education and enables systematic change in teaching and learning content (https://oercommons.org/about). In this webinar, the audience will learn about two Open Educational Resources published by Aalto University researchers.

Circular Textiles (https://circulartextiles.aalto.fi/) Dr. Natalia Moreira from Aalto School of Arts, Design and Architecture will present about Circular Textiles, which is a platform to broaden circular knowledge and close industrial loops in the textile industry.
Introduction to Speech Processing Research (https://speechprocessingbook.aalto.fi/) Dr. Tom Backström from Aalto School of Electrical Engineering will present about Introduction to Speech Processing, which is an open collection of pedagogical material within the topic of speech and language technology.

Besides learning about the focus and scope of the above initiatives, the audience gets to learn about the experiences of Dr. Moreira and Dr. Backström when creating and maintaining these open educational resources.

Who can participate?

The webinar is aimed at staff and students who are interested in Open Educational Resources. No prior knowledge is required. Some information covered in the session, such as details of Aalto’s services, may be relevant only to those working at Aalto. The webinar is free and open to all.

Learning outcomes

Learn about Circular Textiles and Introduction to Speech Processing OERs
Learn about Dr. Moreira’s and Dr. Backström’s experiences when creating and maintaining these OERs
Learn about Dr. Moreira’s and Dr. Backström’s needs and wishes regarding how universities’ research services could support the development of OERs

Format

The session consists of two presentations followed by a Q&A.

Schedule and location

The training will be held online via Zoom on October 26, 2023, at 1.00-2.30 PM Eastern European Time (EET).

Lecturers

Dr. Natalia Moreira, Postdoc Researcher, School of Arts, Architecture and Design, Aalto University, natalia.moreira@aalto.fi
Dr. Tom Backström, Associate Professor, School of Electrical Engineering, Aalto University, tom.backstrom@aalto.fi (https://link.webropolsurveys.com/EventParticipation/EventPublic/76e73324-6dc6-43a0-8bb8-fd5091f3f1d3?displayId=Fin2865329)","(UTC+02:00) Helsinki, Kiev, Riga, Sofia, Tallinn, Vilnius",26/10/2023 13:00:00,26/10/2023 14:30:00,
01/09/2023 16:18:07,Handling of Personal Data in Research,Online,https://link.webropolsurveys.com/EventParticipation/EventPublic/a263d832-ab0d-4e27-879b-db3909db13cb?displayId=Fin2865344,"Description

Are you handling personal data as part of your research? If you are doing research with any type of data from a living individual (for example: questionnaires, interviews, biomedical signals, data from registries, data from social media, pseudonymised data), then you are handling personal data. Join this webinar to learn the basics for handling personal data in research.

Prior to the webinar, please familiarise yourself with Aalto University’s guidelines “How to Handle Personal Data in Research” and please watch the video “Handling of Personal Data”. The slides from the video can also be used as materials for discussion.

We encourage participants to register and submit questions in advance to instructors.

Who can participate?

Please note that the content of this webinar (document templates, services, etc.) is Aalto-specific. However, the webinar is open to anyone interested in the topic. No prior knowledge is required. The webinar is free of charge.

Learning outcomes

The basics for handling personal data in research.

Format

A one-hour presentation and a Q&A.

Schedule and location

The training will be held online via Zoom on October 30 at 1–2.30 PM (EET).

Instructors

Enrico Glerean, Staff Scientist, Data Agent, School of Science, Aalto University, enrico.glerean@aalto.fi
Anniina Harju, Legal Counsel, Legal Services, Aalto University, anniina.harju@aalto.fi
Maria Rehbinder, Senior Legal Counsel, Certified Information Privacy Professional (CIPP/E), Aalto University, maria.rehbinder@aalto.fi
Essi Viitanen, Senior Advisor, Data Agent, Research Services, Aalto University, essi.viitanen@aalto.fi (https://link.webropolsurveys.com/EventParticipation/EventPublic/a263d832-ab0d-4e27-879b-db3909db13cb?displayId=Fin2865344)","(UTC+02:00) Helsinki, Kiev, Riga, Sofia, Tallinn, Vilnius",30/10/2023 13:00:00,30/10/2023 14:30:00,
